raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
FI.GI,Bizerte,Bizerte sud,Industries du cuir et de la chaussure,GIUSEPPE PELLECHIA,(216-)  72 533 902/ 53 494 695,figisarl@yahoo.fr,90,TOTALEMENT EXPORTATRICE
HUILERIE EL AMEN (MOKNINE),Monastir,Moknine,Industries agricoles et alimentaires,MOHAMED HECHMI YACOUB,(216-)  22 056 554,huilerie.amen@voila.fr,22,NON TOTALEMENT EXPORTATRICE
STE MANAR THON,Medenine,Zarzis,Industries agricoles et alimentaires,MOHAMED ARBI CHEBBI,(216-)  71 238 283/ 75 738 435,commercial.manarthon@hexabyte.tn,533,NON TOTALEMENT EXPORTATRICE
BOUAJILA ALI BEN ABDALLAH,Kebili,Kebili nord,Fabrication d'autres produits non métalliques,ALI BOUAJILA,(216-)  75 490 809/ 75 490 110,,10,NON TOTALEMENT EXPORTATRICE
GONSER TEXTILE TRAITEMENT,Nabeul,Korba,Industries textiles et habillement,GONSER JURGEN,(216-)  72 385 533/ 72 389 661,gtt@gonser-group.com,620,TOTALEMENT EXPORTATRICE
SIRAIL TUNISIE,Ben arous,Fouchana,Fabrication d'equipements électriques et électroniques,ALI BEN HAMMOUDA,(216-)  71 409 214,ali.benhammouda@sirail.tn,236,TOTALEMENT EXPORTATRICE
STE DES ALIMENTS COMPOSES DU NORD,Nabeul,Soliman,Industries agricoles et alimentaires,ABDELHAMID OMRANE,(216-)  22 602 665/ 72 390 039,mhamed.bacha@acn.com.tn,140,NON TOTALEMENT EXPORTATRICE
MED LIGHT,Sfax,El hencha,Fabrication d'equipements électriques et électroniques,HASSEN M'HIRI,(216-)  74 842 351/ 74 243 114,medlight@gmail.com,60,NON TOTALEMENT EXPORTATRICE
STE NOVO GEL,Sfax,Sfax ville,Industries agricoles et alimentaires,EMILIO GALUF,(216-)  74 497 545,nbougarech@novogel.net,100,TOTALEMENT EXPORTATRICE
ZAIBI MOHAMED,Sfax,Jebeniana,Industries agricoles et alimentaires,MOHAMED ZAIBI,(216-)  98 412 452/ 74 881 899,,10,NON TOTALEMENT EXPORTATRICE
LES PAVEES DU NORD BEN JEBLI,Le kef,Le kef est,Fabrication d'autres produits non métalliques,MOURAD BEN JEBLI,(216-)  78 228 250,,10,NON TOTALEMENT EXPORTATRICE
STE BLEU OCEAN TUNISIE,Monastir,Jammel,Industries textiles et habillement,YANNICK JOLLY,(216-)  73 487 864,direction@bleuocean.com.tn,149,TOTALEMENT EXPORTATRICE
HUILERIE EL AMEN (RAS EL MA),Siliana,Siliana sud,Industries agricoles et alimentaires,SOUFIA ZOUARI,(216-)  98 229 322,,13,NON TOTALEMENT EXPORTATRICE
ERA-CONTACT TUNISIA,Bizerte,El alia,Fabrication d'equipements électriques et électroniques,SAMI HADJI,(216-)  72 451 010,info.tunisia@era-contact.de,200,TOTALEMENT EXPORTATRICE
GHEZALA FRUITS,Bizerte,Ghezala,Industries agricoles et alimentaires,NABIL BELKAHIA,(216-)  72 487 199,,30,NON TOTALEMENT EXPORTATRICE
ABDENNADHER DESIGN,Ben arous,Boumhal,Autres industries manufacturières,HABIB ABDENNADHER,(216-)  71 216 020/ 71 433 375,a.design@gnet.tn,60,NON TOTALEMENT EXPORTATRICE
TUNIS PLAST,Ben arous,Fouchana,Industrie du caoutchouc et des plastiques,FRANCO MANTOVANI,(216-)  79 408 338,imedsamircherif@yahoo.fr,14,TOTALEMENT EXPORTATRICE
AGENCEMENT IDEAL,Ben arous,Fouchana,Métallurgie et travail des métaux,ASAWER DHOUIB,(216-)  22 250 261/ 71 409 027,agencementideal@yahoo.fr,10,NON TOTALEMENT EXPORTATRICE
KADETEX,Ben arous,Megrine,Industries textiles et habillement,SOUBITEZ CHRISTINE,(216-)  71 425 822,cs.kadetex@planet.tn,115,TOTALEMENT EXPORTATRICE
STE ESTH'ELLE,Sfax,El hencha,Industrie chimique,MAHDI HACHICHA,(216-)  22 300 050/ 74 842 356,mahdi.hachicha@tunet.tn,20,NON TOTALEMENT EXPORTATRICE
STE DESITUNIS,Sousse,Sidi Abdelhamid,Industries textiles et habillement,FATHEDDINE JAAFOURA,(216-)  73 322 782/ 73 322 783,aymen.jaafoura@desitunis.com,57,TOTALEMENT EXPORTATRICE
HUILERIE ENNOUR (EL ALA),Kairouan,El alaa,Industries agricoles et alimentaires,ABDERRAZAK SBOUI,(216-)  98 554 769/ 77 303 763,,10,NON TOTALEMENT EXPORTATRICE
STE HUILERIE RAWAA,Kairouan,Haffouz,Industries agricoles et alimentaires,SOFIANE SAOUDI,(216-)  97 117 770/ 23 204 508,,10,NON TOTALEMENT EXPORTATRICE
CODECAP PLUS NORTH AFRICA,Nabeul,El haouaria,Industries agricoles et alimentaires,KAMEL DEDDECH,(216-)  98 318 894/ 72 294 654,codecap@gmail.com,60,NON TOTALEMENT EXPORTATRICE
SAFOUANE HUILERIE ET CONDITIONNEMENT D'HUILES ALIMENTAIRES,Sfax,Sakiet ezzit,Industries agricoles et alimentaires,MOHAMED RIDHA BOUKHRIS,(216-)  74 861 984,s.safouane@gnet.tn,30,NON TOTALEMENT EXPORTATRICE
STE LES HUILERIES DE BLETTECH,Sfax,Jebeniana,Industries agricoles et alimentaires,MOHAMED DRISS,(216-)  71 808 020/ 98 313 336,,10,NON TOTALEMENT EXPORTATRICE
TECHNIQUE BRODERIE SERIGRAPHIE,Monastir,Moknine,Industries textiles et habillement,SAMIR GHADHAB,(216-)  73 435 666,tbs@gnet.tn,39,TOTALEMENT EXPORTATRICE
STE IND ET SERVICES,Gabes,Gabes ouest,Métallurgie et travail des métaux,MONGI JAFFEL,(216-)  75 351 500/ 75 351 666,contact@jgh.com.tn,23,NON TOTALEMENT EXPORTATRICE
STE DE MEUBLES ET DE DECORATION,Zaghouan,Bir m'cherga,Travail du bois et fabrication d'articles en bois,JAMELEDDINE TROJETTE,(216-)  70 938 166/ 72 640 421,smd@mts.com.tn,16,NON TOTALEMENT EXPORTATRICE
SOLUTIONS COMPOSITES,Zaghouan,Zriba,Industrie du caoutchouc et des plastiques,ADEL HAMMAMI,(216-)  72 677 254,contact@solutions-composites.com,89,TOTALEMENT EXPORTATRICE
PGM TUNISIE,Zaghouan,Bir m'cherga,Industrie du caoutchouc et des plastiques,CIANFELICI MARCELLO,(216-)  72 640 570,admin.pgm@planet.tn,102,TOTALEMENT EXPORTATRICE
ATLAS INDUSTRIE,Zaghouan,Bir m'cherga,Industries agricoles et alimentaires,HABIB MABROUK,(216-)  98 363 009/ 72 640 396,atlasagricole@planet.tn,22,NON TOTALEMENT EXPORTATRICE
HUILERIE EL FATEH,Zaghouan,El fahs,Industries agricoles et alimentaires,MOHAMED HEDI CHABBEH,,,10,NON TOTALEMENT EXPORTATRICE
STE CHAGRA COUPE,Gabes,Gabes ville,Industries textiles et habillement,SAMI CHAGRA,(216-)  75 272 022/ 75 272 023,info@chagracoupe.tn,35,NON TOTALEMENT EXPORTATRICE
STE HUILERIE ZARROUKI,Le kef,Nebeur,Industries agricoles et alimentaires,ABDERRAOUF ZARROUKI,(216-)  98 285 122,,12,NON TOTALEMENT EXPORTATRICE
STE HUILERIE ZAAFRANA,Le kef,Le kef est,Industries agricoles et alimentaires,SAHBI BARBOUCHE,(216-)  53 931 936,,10,NON TOTALEMENT EXPORTATRICE
BIGA FLOR,Nabeul,Korba,Industrie chimique,MAROUENE OUAHADA,(216-)  72 234 285,bigaflor@planet.tn,15,TOTALEMENT EXPORTATRICE
DES SARL,Monastir,Moknine,Industries textiles et habillement,JOHN DE MERSMAN,(216-)  73 416 100,demco@demcointer.com,152,TOTALEMENT EXPORTATRICE
STE IMAGE TUNISIENNE,Sousse,Akouda,Industries textiles et habillement,GUY LANUSSE,(216-)  73 308 788/ 73 308 686,lg.image@topnet.tn,24,TOTALEMENT EXPORTATRICE
CONNECT,Ariana,La Soukra,Fabrication d'equipements électriques et électroniques,MAHER MOALLA,(216-)  98 221 770/ 71 864 327,connect@planet.tn,80,TOTALEMENT EXPORTATRICE
STE MAGHREBINE DU PAPIER,Sousse,Sidi el hani,"Industrie du papier et du carton, édition et imprimerie",HASSEN TIZAOUI,(216-)  73 280 250,somapap@live.fr,25,NON TOTALEMENT EXPORTATRICE
STE MDA SARL,Monastir,Jammel,Fabrication d'autres produits non métalliques,MELILLO LEONARNDO,(216-)  73 590 885,contact@mdasarl.com,12,TOTALEMENT EXPORTATRICE
STE ELYSSA HUILES,Gabes,Mareth,Industries agricoles et alimentaires,ALI BOUCHRIKA,,info@elyssa-oliveoil.com,17,NON TOTALEMENT EXPORTATRICE
STE TNNE DE PECHE ET D'EXPORTATION DES PRODUITS DE MER,Tunis,La goulette,Industries agricoles et alimentaires,KARIM HAMED,(216-)  71 978 458,sotupeche-tunisie@live.fr,15,NON TOTALEMENT EXPORTATRICE
TUNISIAN CLOTHING TEAM,Manouba,Douar Hicher,Industries textiles et habillement,CHEKIB NOUIRA,(216-)  71 620 616,stantard@cnfashion.fr,75,NON TOTALEMENT EXPORTATRICE
VAN DE VELDE CONFECTION,Sousse,Kondar,Industries textiles et habillement,PETER BYNENS,(216-)  73 389 685,peter.bynews@vdvt.com.tn,680,TOTALEMENT EXPORTATRICE
STE D'INJECTION DE PLASTIC ALIMENTAIRE,Zaghouan,Zriba,Industrie du caoutchouc et des plastiques,MOHAMED WAJDI ELLAFFAT,(216-)  71 841 731/ 98 772 306,contact@sipatunisia.com,50,NON TOTALEMENT EXPORTATRICE
SITEM,Zaghouan,Zriba,Fabrication de machines et équipements,BRUNO STRAGLIATI,(216-)  71 753 186/ 72 119 400,,855,TOTALEMENT EXPORTATRICE
ABATTOIR AVICOLE DU NORD,Zaghouan,Zaghouan,Industries agricoles et alimentaires,NEJI LABIEDH,(216-)  97 365 096/ 72 682 350,aan@topnet.tn,92,NON TOTALEMENT EXPORTATRICE
SOCOMENIN INDUSTRIAL CONSTRUCTION (SFAX),Sfax,Sfax ville,Métallurgie et travail des métaux,NIAZI FERSI,(216-)  74 497 161/ 74 498 162,ic@socomenin.com.tn,51,NON TOTALEMENT EXPORTATRICE
STE LA GLE DE CONFECTION,Sfax,Sfax sud,Industries textiles et habillement,MEHDI M'SEDDI,(216-)  58 322 800/ 58 423 448,gc@tunet.tn,80,TOTALEMENT EXPORTATRICE
NOVARINO TUNISIE,Bizerte,El alia,Industries agricoles et alimentaires,AKRAM BEN MILED,(216-)  72 453 123,secretariat@clubnovarino.com,35,TOTALEMENT EXPORTATRICE
STE D'EQUIPEMENT AERONAUTIQUE,Ben arous,Fouchana,Fabrication d'equipements électriques et électroniques,DANIEL BERARDO,(216-)  71 205 041/ 79 408 300,sea.sa@planet.tn,495,TOTALEMENT EXPORTATRICE
STE D'ASSEMBLAGE DE MONTAGE ET D'ELECTROMECANIQUE,Zaghouan,Zaghouan,Fabrication d'equipements électriques et électroniques,BECHIR DARDOUR,(216-)  72 680 122/,,385,TOTALEMENT EXPORTATRICE
LEIBER TEXTILE,Zaghouan,Zaghouan,Industries textiles et habillement,DIRK LEIBER,(216-)  72 682 500,leiberconfection@planet.tn,31,TOTALEMENT EXPORTATRICE
NOUR PLASTIQUE,Tunis,Sidi hassine,Industrie du caoutchouc et des plastiques,SADOK MOHSNI,(216-)  97 828 554/ 71 590 800,,14,TOTALEMENT EXPORTATRICE
STE D'INDUSTRIES GENERALES ET AGRICOLES,Zaghouan,El fahs,Métallurgie et travail des métaux,WISSEM KRID,(216-)  97 392 391/ 70 242 828,finance@poulina.com.tn,108,NON TOTALEMENT EXPORTATRICE
ENGINEERING CHEMICAL INDUSTRIES,Zaghouan,Bir m'cherga,Industrie chimique,MOHAMED SKANDER BEN HAJJI,,samyayadi@yahoo.fr,10,NON TOTALEMENT EXPORTATRICE
NLLE HUILERIE AYACHI,Siliana,Kesra,Industries agricoles et alimentaires,ABDELHAMID AYACHI ZAMMEL,(216-)  70 254 680/ 78 820 050,comptabilite@ayachi-group.com,30,NON TOTALEMENT EXPORTATRICE
MANUFACTURING INTER COMPANY,Bizerte,Ras el jebel,Industries textiles et habillement,ERIC LINEZOWSKI,(216-)  72 455 338/ 72 455 128,c.majdoub@mic-sa-tn.com,450,TOTALEMENT EXPORTATRICE
NASTEX,Sousse,Msaken,Industries textiles et habillement,ZAHREDDINE BEN ABDELHAMID,(216-)  73 386 953,nastex@topnet.tn,50,TOTALEMENT EXPORTATRICE
STE MANAR DE STOCKAGE ET DE CONDITIONNEMENT,Kasserine,Sbeitla,Industries agricoles et alimentaires,SAIDA MOULAHI,(216-)  77 467 811/ 77 467 822,somasco2004@gmail.com,12,NON TOTALEMENT EXPORTATRICE
MINERALI INDUSTRIALI TUNISIA,Kairouan,El ouaslatia,Autres industries extractives,OGGINIO SILYER,(216-)  23 225 165/,ccaltran@min.it,60,TOTALEMENT EXPORTATRICE
C.H.O COMPANY (KAIROUAN),Kairouan,Echrarda,Industries agricoles et alimentaires,HAMADI MAALEJ,(216-)  74 831 672/ 77 259 004,cho@olivolio.com,46,TOTALEMENT EXPORTATRICE
ENTREPOT FRIGORIFIQUE MELKI AREF,Le kef,Le sers,Industries agricoles et alimentaires,AREF MELKI,,,10,NON TOTALEMENT EXPORTATRICE
ZOUHAIER HELAL,Le kef,Le sers,Industries agricoles et alimentaires,ZOUHAIER HELAL,(216-)  78 262 349,,10,NON TOTALEMENT EXPORTATRICE
HUILERIE EL BARAKA (LE SNED),Gafsa,Le sned,Industries agricoles et alimentaires,MABROUK LAIDI,(216-)  76 290 345/ 98 234 625,,12,NON TOTALEMENT EXPORTATRICE
STE GHAA DES INDUSTRIES ALIMENTAIRES,Gafsa,Gafsa sud,Industries agricoles et alimentaires,MOHAMED SALAH GHAA,(216-)  98 429 269/ 76 222 807,,17,NON TOTALEMENT EXPORTATRICE
SOTUFAM (EL HAOUARIA),Nabeul,El haouaria,Autres industries manufacturières,SADOK FATHALLAH,(216-)  98 331 294,sadoksotifamm@gmail.com,32,NON TOTALEMENT EXPORTATRICE
TECHNOPLAST SELMA,Gafsa,Gafsa sud,Industrie du caoutchouc et des plastiques,SELMA FARAH,(216-)  76 202 701,,11,NON TOTALEMENT EXPORTATRICE
STE KARAOULI MEUBLES,Gafsa,Gafsa sud,Travail du bois et fabrication d'articles en bois,MOHAMED KARAOULI,(216-)  76 211 333/ 22 429 924,,10,NON TOTALEMENT EXPORTATRICE
LADY BAG,Tunis,El omrane superieur,Industries du cuir et de la chaussure,SERGIO SCAPIN,(216-)  71 931 181,pelleterialadybag@gmail.com,35,TOTALEMENT EXPORTATRICE
SODEXO PASS TUNISIE,Tunis,Bab bhar,"Industrie du papier et du carton, édition et imprimerie",SLIM BEN AMMAR,(216-)  71 188 600,info@sodexo.tn,77,NON TOTALEMENT EXPORTATRICE
STE MARWA D'EXPLOITATION ET TRAITEMENT DES SABLES,Kairouan,El ouaslatia,Autres industries extractives,HABIB SEBRI,(216-)  98 172 347/ 77 320 022,sometram@planet.tn,15,NON TOTALEMENT EXPORTATRICE
STE LES CARRIERES CHOISIES,Sidi Bouzid,Sidi bouzid est,Autres industries extractives,NABIL BOULILA,(216-)  24 954 880,,15,NON TOTALEMENT EXPORTATRICE
CREATION TEXTILE,Nabeul,Beni khiar,Industries textiles et habillement,FARIDA MAHMOUDI,(216-)  72 355 741,,50,TOTALEMENT EXPORTATRICE
STE PERFECT PLAST,Sousse,Sidi Abdelhamid,Industrie du caoutchouc et des plastiques,DAVID DEMONCEAUX,(216-)  73 322 835,ahlem.perfectplast@gmail.com,30,TOTALEMENT EXPORTATRICE
STE TOP CONFECTION (AMIRAT EL HAJJAJ),Monastir,Moknine,Industries textiles et habillement,RIDHA WAZ,(216-)  73 405 053,top_confection@yahoo.fr,65,TOTALEMENT EXPORTATRICE
STE PROVALEX HCV,Sfax,El amra,Industries agricoles et alimentaires,ALI HAMDI,(216-)  74 447 814,provalex@planet.tn,40,NON TOTALEMENT EXPORTATRICE
STE TUNISO EUROPEENNE DE CONFECTION,Sfax,Mahres,Industries textiles et habillement,MOHAMED KRIFECH,(216-)  74 692 640,sotec@gnet.tn,110,TOTALEMENT EXPORTATRICE
MONDIAL-TEX,Ben arous,Rades,Industries textiles et habillement,KAIS EL AMRI,(216-)  95 991 153,mondialtex@planet.tn,27,TOTALEMENT EXPORTATRICE
IMITUNIS SARL,Ben arous,Megrine,Fabrication d'equipements électriques et électroniques,LUIGI ZUCCO,(216-)  71 425 389/,headoffice@imitunis.com.tn,70,TOTALEMENT EXPORTATRICE
DANY CONFECTION,Monastir,Sayada lamta bouhjar,Industries textiles et habillement,DANIELLE MARTINEZ,(216-)  73 434 131,dany@tunet.tn,137,TOTALEMENT EXPORTATRICE
STE WINWORK,Sfax,Sfax ville,Industries textiles et habillement,THOMAS GERRIT WINNEN,(216-)  74 286 664,tomtex@gnet.tn,116,TOTALEMENT EXPORTATRICE
CENTRAL TUNISIAN FRUIT,Sidi Bouzid,Regueb,Industries agricoles et alimentaires,JAMILA KADRI,(216-)  76 636 017/ 98 252 918,,66,TOTALEMENT EXPORTATRICE
STE IND DE CYCLES ET MATERIELS ROULANTS POUR HANDICAPES ET HOPITAUX,Ariana,Kalaat landalous,Fabrication de matériel de transport,ALI BEN MAHMOUD,(216-)  70 559 063/ 70 559 069,aima@planet.tn,30,NON TOTALEMENT EXPORTATRICE
DAR ESSABAH,Tunis,El menzah,"Industrie du papier et du carton, édition et imprimerie",ABDERRAHMEN HACHTELI,(216-)  71 238 222,,126,NON TOTALEMENT EXPORTATRICE
"STE TOUNSI DE CONFECTION  ""TOUTEX""",Mahdia,Melloulech,Industries textiles et habillement,BILEL TOUNISI,(216-)  28 620 621/ 73 660 415,tounsimedali@gmail.com,160,NON TOTALEMENT EXPORTATRICE
ARTS TECHNIQUES DES METAUX,Sfax,El hencha,Autres industries manufacturières,HEDI SALLEM,(216-)  28 100 082/ 20 320 049,artem@tunet.tn,15,NON TOTALEMENT EXPORTATRICE
STE TUNITEX,Sfax,Sfax ville,Industries textiles et habillement,BELHASSEN GHRAB,(216-)  53 555 355/ 74 287 805,mbouattour@aramysgroup.com,800,TOTALEMENT EXPORTATRICE
ITP,Sousse,Msaken,Fabrication de matériel de transport,BECHR BOUTHLIJA,(216-)  73 285 685,itp@itp-alcen.com,46,TOTALEMENT EXPORTATRICE
STE MINA CONFECTION,Sousse,Msaken,Industries textiles et habillement,TAOUFIK BEN JEDIDA,(216-)  73 285 850,benjedida.taoufik@planet.tn,80,TOTALEMENT EXPORTATRICE
STE LES GAZELLES DE CONFECTION,Sfax,Thyna,Industries textiles et habillement,BELHASSEN SASSIA,(216-)  24 197 029,sgc.sassia@gmail.com,16,NON TOTALEMENT EXPORTATRICE
NINE CONFECTION,Monastir,Bembla,Industries textiles et habillement,LAURENT  MARTIAL MARTY,(216-)  73 478 657/ 73 223 143,nine@planet.tn,48,TOTALEMENT EXPORTATRICE
GASCOGNE SACK TUNISIA,Ben arous,Rades,"Industrie du papier et du carton, édition et imprimerie",LOTFI HOUIMLI,(216-)  71 448 020,lotfi.houilmi@gascognesack.com.tn,116,NON TOTALEMENT EXPORTATRICE
STARLEATHER,Bizerte,Menzel jemil,Industries du cuir et de la chaussure,AXEL UNTERSTELLER,(216-)  72 440 666,mahassen.hamdi@starlight-leather.de,50,TOTALEMENT EXPORTATRICE
SODEP MEDITERRANEE,Ariana,Raoued,Industries textiles et habillement,PATRICE BAUDIN,(216-)  70 721 133/ 70 721 132,sodep.med@gmail.com,30,TOTALEMENT EXPORTATRICE
ETS JMAIL NADER,Sfax,Sfax ouest,Industries textiles et habillement,NADER JAMAIL,(216-)  74 463 005,sntt@topnet.tn,10,NON TOTALEMENT EXPORTATRICE
AGROLIVA,Sfax,Menzel chaker,Industries agricoles et alimentaires,MOHAMED MAKNI,(216-)  74 405 088,agroliva@wanadoo.tn,10,NON TOTALEMENT EXPORTATRICE
STE SERI-TEX,Manouba,Douar Hicher,Industries textiles et habillement,KAMEL BOUOUNI,(216-)  70 662 140/ 95 991 234,seritex@gnet.tn,62,TOTALEMENT EXPORTATRICE
STE AL PRODUCTIONS,Ariana,La Soukra,Métallurgie et travail des métaux,MOHAMED TRABELSI,(216-)  70 680 277/ 70 680 500,aluminiumtrabelsi@yahoo.fr,10,NON TOTALEMENT EXPORTATRICE
STE ARTISANALE DE MOBILIER CONTEMPORAIN,Ben arous,Megrine,Autres industries manufacturières,MOHAMED BEN YAGHLANE,(216-)  98 705 150/ 71 426 731,hamdi.by@topnet.tn,60,NON TOTALEMENT EXPORTATRICE
ATEMA,Ariana,El mnihla,Métallurgie et travail des métaux,BENOIT HEBEISEN,(216-)  71 554 554,atema.contact@planet.tn,40,TOTALEMENT EXPORTATRICE
NEWS DE,Ariana,Cite ettadhamen,Industries textiles et habillement,MICHEL PELLISSIER,(216-)  70 661 642,pellisier.michel@topnet.tn,30,TOTALEMENT EXPORTATRICE
STE TRICOTAGE DU CENTRE,Monastir,Teboulba,Industries textiles et habillement,CHEDLY KHELIFA,(216-)  73 492 928,tuntex.fashion@yahoo.fr,12,TOTALEMENT EXPORTATRICE
ETS JAMILA CONFECTION,Monastir,Ksibet el mediouni,Industries textiles et habillement,JAMILA BENT FREDJ,(216-)  52 110 110,jamila_confection@hotmail.com,32,NON TOTALEMENT EXPORTATRICE
ORIENT BRODERIE,Monastir,Jammel,Industries textiles et habillement,JAMIL BERRICH,(216-)  73 485 422,,25,TOTALEMENT EXPORTATRICE
TEXTILE DEVELOPPEMENT,Monastir,Ksibet el mediouni,Industries textiles et habillement,SERGE TOKATLIAN,(216-)  22 270 563,textiledeveloppement@yahoo.fr,25,TOTALEMENT EXPORTATRICE
STE AMMAR FRERES DE FILATURE,Monastir,Bekalta,Industries textiles et habillement,IMED AMMAR,(216-)  73 477 420,str@topnet.tn,18,NON TOTALEMENT EXPORTATRICE
MANUFACTURE AFRICAINE DE CONFECTION,Tunis,El hararia,Industries textiles et habillement,JAMEL RABOUDI,(216-)  22 138 613/ 71 939 045,,50,TOTALEMENT EXPORTATRICE
TESCA TUNISIA GROMBALIA,Nabeul,Grombalia,Industries textiles et habillement,MATTIEU DIVARES,(216-)  72 255 412,chokri.ghalioun@tescagroup.com,130,TOTALEMENT EXPORTATRICE
STE MEGA-PUB,Manouba,Manouba,"Industrie du papier et du carton, édition et imprimerie",MONCEF BEN HALIMA,(216-)  71 600 798,,27,NON TOTALEMENT EXPORTATRICE
MIATEX,Tunis,Sidi hassine,Industries textiles et habillement,CLAUDIO MEDORI,(216-)  71 591 520/ 71 591 580,miatex@topnet.tn,140,TOTALEMENT EXPORTATRICE
STE TNNE D'EMAIL,Mahdia,Essouassi,Fabrication d'autres produits non métalliques,AHMED SGHAIR,(216-)  73 610 772/ 29 509 114,,320,NON TOTALEMENT EXPORTATRICE
STE EL BADR (UTIQUE),Bizerte,Utique,Industries agricoles et alimentaires,HICHEM CHRAIEF,(216-)  72 445 022/ 72 445 012,elbadr_utique@hotmail.com,71,NON TOTALEMENT EXPORTATRICE
VIGNATI TUNISIE,Zaghouan,Bir m'cherga,Industrie du caoutchouc et des plastiques,VIGNATI FABRIZIO,(216-)  72 640 540,infotn@vignati.it,50,TOTALEMENT EXPORTATRICE
LACROIX ELECTRONIQUE TUNISIE,Zaghouan,Zriba,Fabrication d'equipements électriques et électroniques,STEPHANE KHAZYNGIER,(216-)  98 406 628/ 72 673 501,,701,TOTALEMENT EXPORTATRICE
HUILERIE SLIMA,Monastir,Moknine,Industries agricoles et alimentaires,HEDI SLIMA,(216-)  98 301 854/ 73 400 498,,15,NON TOTALEMENT EXPORTATRICE
STE MAYET ZAGHOUAN,Zaghouan,Zaghouan,Industries agricoles et alimentaires,MOHAMED M'LIKA,(216-)  25 777 300/ 72 660 052,sinda_mlika@yahoo.fr,42,NON TOTALEMENT EXPORTATRICE
STE DAKHLA,Nabeul,Soliman,Industries agricoles et alimentaires,HOUSSEM KEDHEBA,(216-)  72 398 107,direction.sdpaa@gnet.tn,50,NON TOTALEMENT EXPORTATRICE
STE CYCLO INDUSTRIE,Sousse,Akouda,Fabrication de matériel de transport,TAOUFIK LARIBI,(216-)  73 225 517/ 28 204 010,lt.sci@gnet.tn,23,NON TOTALEMENT EXPORTATRICE
ALTRAD CEDRIA,Ben arous,Hammam chott,Métallurgie et travail des métaux,MATHIAS ALTRAD,(216-)  71 431 503/ 71 431 900,altrad.tunisie@planet.tn,170,TOTALEMENT EXPORTATRICE
VISTEON ELECTRONICS TUNISIA (EX. JOHNSON CONTROLS TUNISIE),Ben arous,Hammam chott,Fabrication d'equipements électriques et électroniques,HICHEM BEN GHORBAL,(216-)  70 022 500,tkamoun@visteon.com,340,TOTALEMENT EXPORTATRICE
ZOUIA DATTES,Kebili,Souk el ahad,Industries agricoles et alimentaires,ALI LAARIBI,(216-)  98 232 242,,30,TOTALEMENT EXPORTATRICE
CALDI BIANCHI TEX,Nabeul,Beni khalled,Industries textiles et habillement,FAUSTO BIANCHI,(216-)  72 374 660,info@cbtex.com.tn,80,TOTALEMENT EXPORTATRICE
"LA MAGHREBINE POUR l'IMPRESSION, L'EDITION ET LA PUBLICITE",Ariana,La Soukra,"Industrie du papier et du carton, édition et imprimerie",MOURAD BOUBAKER,(216-)  70 837 683/ 70 837 867,mourad.mip@gnet.tn,31,NON TOTALEMENT EXPORTATRICE
BEAU METAL,Ariana,Raoued,Métallurgie et travail des métaux,BRAHIM LAKHNECH,(216-)  70 687 328,beau_metal@topnet.tn,13,NON TOTALEMENT EXPORTATRICE
BELGOTEX (EX STE SPORT CONFECTION),Monastir,Monastir,Industries textiles et habillement,RAFIKA BRAHAM,(216-)  73 535 302,hazar.belgotex@gmail.com,16,TOTALEMENT EXPORTATRICE
STE SMART PULL,Monastir,Teboulba,Industries textiles et habillement,WALID JEMAA,(216-)  73 495 330,smartpull@yahoo.fr,10,NON TOTALEMENT EXPORTATRICE
STE AIN EL FAOUARA MARIEM,Zaghouan,Zriba,Industries agricoles et alimentaires,JAMEL HMOUDI,(216-)  98 312 775,,10,TOTALEMENT EXPORTATRICE
TECHNOPOLE,Sousse,Hergla,Industrie chimique,FETHI GHACHEM,(216-)  73 251 193,technopole.web@gmail.tn,44,NON TOTALEMENT EXPORTATRICE
STE MISSAOUI D'EXPLOITATION DE CARRIERES,Kasserine,Kasserine nord,Autres industries extractives,HAMMOUDA MISSAOUI,(216-)  77 474 767,somecakasserine1200@gmail.com,30,NON TOTALEMENT EXPORTATRICE
STE HUILERIE NOUR,Zaghouan,Ennadhour,Industries agricoles et alimentaires,NOUREDDINE BEN BRAHIM,,,10,NON TOTALEMENT EXPORTATRICE
SATI TUNISIA,Ben arous,Fouchana,Métallurgie et travail des métaux,CHAFIK JARRAYA,(216-)  71 409 891/ 71 409 892,c.jarraya@satitunisia.com,14,NON TOTALEMENT EXPORTATRICE
FABRICATION DE  PRODUITS DE SECURITE,Ben arous,Megrine,Métallurgie et travail des métaux,WENDY MAMILLAM,(216-)  71 434 232/ 71 434 216,f.benabdallah@servtragrou.com,37,TOTALEMENT EXPORTATRICE
